Using pretrained model...

Starting training...
pretrain= True gpu_type= True  memory_capacity= 2000  learning_rate= 0.002  epoch= 100000  CR-routes= 10  power_set_number= 8
2019-08-05 11:57:01 Epoch:  6900 | Reward: 10.00 | Loss: 4.1202564240
2019-08-05 11:57:03 Epoch:  7000 | Reward: 10.00 | Loss: 5.4649267197
2019-08-05 11:57:05 Epoch:  7100 | Reward: 10.00 | Loss: 5.6568241119
2019-08-05 11:57:07 Epoch:  7200 | Reward: 10.00 | Loss: 6.2063002586
2019-08-05 11:57:09 Epoch:  7300 | Reward: 10.00 | Loss: 7.3854026794
2019-08-05 11:57:11 Epoch:  7400 | Reward: 10.00 | Loss: 5.8433408737
2019-08-05 11:57:13 Epoch:  7500 | Reward: 10.00 | Loss: 3.1328349113
2019-08-05 11:57:15 Epoch:  7600 | Reward: 10.00 | Loss: 4.7959599495
2019-08-05 11:57:17 Epoch:  7700 | Reward: 10.00 | Loss: 6.2926502228
2019-08-05 11:57:19 Epoch:  7800 | Reward: 10.00 | Loss: 5.9539060593
2019-08-05 11:57:21 Epoch:  7900 | Reward: 10.00 | Loss: 5.0228681564
2019-08-05 11:57:23 Epoch:  8000 | Reward: 10.00 | Loss: 7.1245393753
2019-08-05 11:57:25 Epoch:  8100 | Reward: 10.00 | Loss: 6.8943014145
2019-08-05 11:57:27 Epoch:  8200 | Reward: 10.00 | Loss: 7.6728653908
2019-08-05 11:57:29 Epoch:  8300 | Reward: 10.00 | Loss: 6.7807564735
2019-08-05 11:57:31 Epoch:  8400 | Reward: 10.00 | Loss: 5.1465668678
2019-08-05 11:57:33 Epoch:  8500 | Reward: 10.00 | Loss: 5.8896675110
2019-08-05 11:57:35 Epoch:  8600 | Reward: 10.00 | Loss: 4.8840870857
2019-08-05 11:57:38 Epoch:  8700 | Reward: 10.00 | Loss: 5.2998409271
2019-08-05 11:57:40 Epoch:  8800 | Reward: 10.00 | Loss: 8.5413341522
2019-08-05 11:57:42 Epoch:  8900 | Reward: 10.00 | Loss: 2.6927423477
2019-08-05 11:57:43 Epoch:  9000 | Reward: 10.00 | Loss: 5.1312494278
2019-08-05 11:57:45 Epoch:  9100 | Reward: 10.00 | Loss: 4.6534852982
2019-08-05 11:57:47 Epoch:  9200 | Reward: 10.00 | Loss: 3.7949938774
2019-08-05 11:57:49 Epoch:  9300 | Reward: 10.00 | Loss: 6.1842350960
2019-08-05 11:57:51 Epoch:  9400 | Reward: 10.00 | Loss: 4.9294691086
2019-08-05 11:57:54 Epoch:  9500 | Reward: 10.00 | Loss: 5.5454568863
2019-08-05 11:57:56 Epoch:  9600 | Reward: 10.00 | Loss: 3.8757724762
2019-08-05 11:57:58 Epoch:  9700 | Reward: 10.00 | Loss: 6.6482415199
2019-08-05 11:58:00 Epoch:  9800 | Reward: 10.00 | Loss: 4.2228331566
2019-08-05 11:58:02 Epoch:  9900 | Reward: 10.00 | Loss: 9.6331129074
2019-08-05 11:58:04 Epoch:  10000 | Reward: 10.00 | Loss: 6.9450736046
2019-08-05 11:58:06 Epoch:  10100 | Reward: 10.00 | Loss: 4.9455919266
2019-08-05 11:58:08 Epoch:  10200 | Reward: 10.00 | Loss: 4.8532748222
2019-08-05 11:58:10 Epoch:  10300 | Reward: 10.00 | Loss: 3.5570130348
2019-08-05 11:58:13 Epoch:  10400 | Reward: 10.00 | Loss: 4.3011398315
2019-08-05 11:58:14 Epoch:  10500 | Reward: 10.00 | Loss: 6.1014323235
2019-08-05 11:58:16 Epoch:  10600 | Reward: 10.00 | Loss: 4.4535293579
2019-08-05 11:58:18 Epoch:  10700 | Reward: 10.00 | Loss: 5.9089059830
2019-08-05 11:58:21 Epoch:  10800 | Reward: 10.00 | Loss: 5.7057957649
2019-08-05 11:58:23 Epoch:  10900 | Reward: 10.00 | Loss: 6.8132596016
2019-08-05 11:58:25 Epoch:  11000 | Reward: 10.00 | Loss: 4.5253934860
2019-08-05 11:58:27 Epoch:  11100 | Reward: 10.00 | Loss: 4.8414916992
2019-08-05 11:58:30 Epoch:  11200 | Reward: 10.00 | Loss: 6.8941497803
2019-08-05 11:58:32 Epoch:  11300 | Reward: 10.00 | Loss: 5.8394117355
2019-08-05 11:58:34 Epoch:  11400 | Reward: 10.00 | Loss: 5.0244011879
2019-08-05 11:58:37 Epoch:  11500 | Reward: 10.00 | Loss: 4.0777101517
2019-08-05 11:58:39 Epoch:  11600 | Reward: 10.00 | Loss: 7.9679374695
